,date,category,value,label
53,2018-01-02,Homeless Concerns,190,0
54,2018-01-02,Illegal Postings,5,0
55,2018-01-02,Litter Receptacles,23,0
56,2018-01-02,MUNI Feedback,49,0
57,2018-01-02,Noise Report,14,0
58,2018-01-02,Rec and Park Requests,20,0
59,2018-01-02,Residential Building Request,8,0
60,2018-01-02,SFHA Requests,3,0
61,2018-01-02,Sewer Issues,47,0
62,2018-01-02,Sidewalk or Curb,9,0
63,2018-01-02,Sign Repair,16,0
64,2018-01-02,Street Defects,20,0
65,2018-01-02,Street and Sidewalk Cleaning,752,0
66,2018-01-02,Streetlights,24,0
67,2018-01-02,Temporary Sign Request,35,0
68,2018-01-02,Tree Maintenance,31,0
69,2018-01-03,311 External Request,3,0
70,2018-01-03,Abandoned Vehicle,103,0
71,2018-01-03,Blocked Street or SideWalk,25,0
72,2018-01-03,Catch Basin Maintenance,1,0
73,2018-01-03,Color Curb,4,0
74,2018-01-03,DPW Volunteer Programs,1,0
75,2018-01-03,Damaged Property,43,0
76,2018-01-03,Encampments,248,0
77,2018-01-03,General Request - 311CUSTOMERSERVICECENTER,5,0
78,2018-01-03,General Request - ANIMAL CARE CONTROL,2,0
79,2018-01-03,General Request - ASSESSOR RECORDER,2,0
80,2018-01-03,General Request - BUILDING INSPECTION,1,0
81,2018-01-03,General Request - COUNTY CLERK,18,0
82,2018-01-03,General Request - DPH,11,0
83,2018-01-03,General Request - ENTERTAINMENT COMMISSION,1,0
84,2018-01-03,General Request - MTA,28,0
85,2018-01-03,General Request - PUBLIC WORKS,31,0
86,2018-01-03,General Request - PUC,9,0
87,2018-01-03,General Request - SMALL BUSINESS,1,0
88,2018-01-03,General Request - TT COLLECTOR,4,0
89,2018-01-03,Graffiti,275,0
90,2018-01-03,Homeless Concerns,181,0
91,2018-01-03,Illegal Postings,4,0
92,2018-01-03,Litter Receptacles,21,0
93,2018-01-03,MUNI Feedback,40,0
94,2018-01-03,Noise Report,23,0
95,2018-01-03,Rec and Park Requests,17,0
96,2018-01-03,Residential Building Request,2,0
97,2018-01-03,SFHA Requests,2,0
98,2018-01-03,Sewer Issues,16,0
99,2018-01-03,Sidewalk or Curb,14,0
100,2018-01-03,Sign Repair,13,0
101,2018-01-03,Street Defects,12,0
102,2018-01-03,Street and Sidewalk Cleaning,686,0
103,2018-01-03,Streetlights,38,0
104,2018-01-03,Temporary Sign Request,35,0
105,2018-01-03,Tree Maintenance,22,0
106,2018-01-04,311 External Request,3,0
107,2018-01-04,Abandoned Vehicle,101,0
108,2018-01-04,Blocked Street or SideWalk,25,0
109,2018-01-04,Catch Basin Maintenance,1,0
110,2018-01-04,Color Curb,1,0
111,2018-01-04,Construction Zone Permits,5,0
112,2018-01-04,DPW Volunteer Programs,1,0
113,2018-01-04,Damaged Property,33,0
114,2018-01-04,Encampments,205,0
115,2018-01-04,General Request - 311CUSTOMERSERVICECENTER,1,0
116,2018-01-04,General Request - ASSESSOR RECORDER,1,0
117,2018-01-04,General Request - BUILDING INSPECTION,2,0
118,2018-01-04,General Request - CITYADMINISTRATOR GSA,1,0
119,2018-01-04,General Request - COUNTY CLERK,8,0
120,2018-01-04,General Request - DPH,14,0
121,2018-01-04,General Request - HUMAN RIGHTS COMMISSION,1,0
122,2018-01-04,General Request - MTA,12,0
123,2018-01-04,General Request - PUBLIC WORKS,23,0
124,2018-01-04,General Request - PUC,7,0
125,2018-01-04,General Request - TT COLLECTOR,1,0
126,2018-01-04,Graffiti,252,0
127,2018-01-04,Homeless Concerns,150,0
128,2018-01-04,Illegal Postings,18,0
129,2018-01-04,Litter Receptacles,21,0
130,2018-01-04,MUNI Feedback,53,0
131,2018-01-04,Noise Report,18,0
132,2018-01-04,Rec and Park Requests,9,0
133,2018-01-04,Residential Building Request,6,0
134,2018-01-04,SFHA Requests,4,0
135,2018-01-04,Sewer Issues,24,0
136,2018-01-04,Sidewalk or Curb,12,0
137,2018-01-04,Sign Repair,19,0
138,2018-01-04,Street Defects,25,0
139,2018-01-04,Street and Sidewalk Cleaning,645,0
140,2018-01-04,Streetlights,22,0
141,2018-01-04,Temporary Sign Request,34,0
142,2018-01-04,Tree Maintenance,20,0
143,2018-01-05,311 External Request,1,0
144,2018-01-05,Abandoned Vehicle,66,0
145,2018-01-05,Blocked Street or SideWalk,19,0
146,2018-01-05,Catch Basin Maintenance,2,0
147,2018-01-05,Color Curb,1,0
148,2018-01-05,Construction Zone Permits,18,0
149,2018-01-05,Damaged Property,34,0
150,2018-01-05,Encampments,179,0
151,2018-01-05,General Request - 311CUSTOMERSERVICECENTER,1,0
152,2018-01-05,General Request - ANIMAL CARE CONTROL,1,0
153,2018-01-05,General Request - ASSESSOR RECORDER,1,0
154,2018-01-05,General Request - BOARD OF SUPERVISORS,1,0
155,2018-01-05,General Request - BUILDING INSPECTION,5,0
156,2018-01-05,General Request - CHILDSUPPORTSERVICES,1,0
157,2018-01-05,General Request - COUNTY CLERK,14,0
158,2018-01-05,General Request - DPH,10,0
159,2018-01-05,General Request - ECONOMICS AND WORKFORCE DEVELOPMENT,1,0
160,2018-01-05,General Request - MTA,27,0
161,2018-01-05,General Request - PUBLIC WORKS,22,0
162,2018-01-05,General Request - PUC,3,0
163,2018-01-05,General Request - TT COLLECTOR,3,0
164,2018-01-05,Graffiti,96,0
165,2018-01-05,Homeless Concerns,136,0
166,2018-01-05,Illegal Postings,5,0
167,2018-01-05,Litter Receptacles,13,0
168,2018-01-05,MUNI Feedback,49,0
169,2018-01-05,Noise Report,14,0
170,2018-01-05,Rec and Park Requests,9,0
171,2018-01-05,Residential Building Request,4,0
172,2018-01-05,SFHA Requests,8,0
173,2018-01-05,Sewer Issues,30,0
174,2018-01-05,Sidewalk or Curb,12,0
175,2018-01-05,Sign Repair,9,0
176,2018-01-05,Street Defects,12,0
177,2018-01-05,Street and Sidewalk Cleaning,509,0
178,2018-01-05,Streetlights,11,0
179,2018-01-05,Temporary Sign Request,31,0
180,2018-01-05,Tree Maintenance,22,0
181,2018-01-06,311 External Request,2,0
182,2018-01-06,Abandoned Vehicle,44,0
183,2018-01-06,Blocked Street or SideWalk,22,0
184,2018-01-06,Catch Basin Maintenance,2,0
185,2018-01-06,Color Curb,1,0
186,2018-01-06,Damaged Property,41,0
187,2018-01-06,Encampments,218,0
188,2018-01-06,General Request - 311CUSTOMERSERVICECENTER,3,0
189,2018-01-06,General Request - ASSESSOR RECORDER,1,0
190,2018-01-06,General Request - BUILDING INSPECTION,5,0
191,2018-01-06,General Request - COUNTY CLERK,4,0
192,2018-01-06,General Request - DPH,4,0
193,2018-01-06,General Request - MONS,1,0
194,2018-01-06,General Request - MTA,10,0
195,2018-01-06,General Request - PUBLIC WORKS,19,0
196,2018-01-06,General Request - PUC,3,0
197,2018-01-06,General Request - SFPD,1,0
198,2018-01-06,Graffiti,162,0
199,2018-01-06,Homeless Concerns,152,0
200,2018-01-06,Illegal Postings,7,0
201,2018-01-06,Litter Receptacles,23,0
202,2018-01-06,MUNI Feedback,38,0
203,2018-01-06,Noise Report,10,0
204,2018-01-06,Rec and Park Requests,27,0
205,2018-01-06,Residential Building Request,4,0
206,2018-01-06,SFHA Requests,5,0
207,2018-01-06,Sewer Issues,27,0
208,2018-01-06,Sidewalk or Curb,4,0
209,2018-01-06,Sign Repair,18,0
210,2018-01-06,Street Defects,13,0
211,2018-01-06,Street and Sidewalk Cleaning,515,0
212,2018-01-06,Streetlights,17,0
213,2018-01-06,Temporary Sign Request,12,0
214,2018-01-06,Tree Maintenance,12,0
215,2018-01-07,Abandoned Vehicle,49,0
216,2018-01-07,Blocked Street or SideWalk,10,0
217,2018-01-07,Catch Basin Maintenance,2,0
218,2018-01-07,Color Curb,1,0
219,2018-01-07,Damaged Property,12,0
220,2018-01-07,Encampments,173,0
221,2018-01-07,General Request - ANIMAL CARE CONTROL,4,0
222,2018-01-07,General Request - COUNTY CLERK,4,0
223,2018-01-07,General Request - DPH,2,0
224,2018-01-07,General Request - MTA,7,0
225,2018-01-07,General Request - PUBLIC WORKS,13,0
226,2018-01-07,General Request - PUC,2,0
227,2018-01-07,Graffiti,236,0
228,2018-01-07,Homeless Concerns,118,0
229,2018-01-07,Illegal Postings,1,0
230,2018-01-07,Litter Receptacles,15,0
231,2018-01-07,MUNI Feedback,26,0
232,2018-01-07,Noise Report,8,0
233,2018-01-07,Rec and Park Requests,19,0
234,2018-01-07,Residential Building Request,2,0
235,2018-01-07,SFHA Requests,7,0
236,2018-01-07,Sewer Issues,19,0
237,2018-01-07,Sidewalk or Curb,34,1
238,2018-01-07,Sign Repair,8,0
239,2018-01-07,Street Defects,15,0
240,2018-01-07,Street and Sidewalk Cleaning,534,0
241,2018-01-07,Streetlights,13,0
242,2018-01-07,Temporary Sign Request,8,0
243,2018-01-07,Tree Maintenance,13,0
244,2018-01-08,311 External Request,1,0
245,2018-01-08,Abandoned Vehicle,47,0
246,2018-01-08,Blocked Street or SideWalk,18,0
247,2018-01-08,Catch Basin Maintenance,19,1
248,2018-01-08,Color Curb,5,0
249,2018-01-08,Construction Zone Permits,7,0
250,2018-01-08,Damaged Property,30,0
251,2018-01-08,Encampments,144,0
252,2018-01-08,General Request - 311CUSTOMERSERVICECENTER,3,0
253,2018-01-08,General Request - ANIMAL CARE CONTROL,2,0
254,2018-01-08,General Request - ASSESSOR RECORDER,1,0
255,2018-01-08,General Request - BUILDING INSPECTION,6,0
256,2018-01-08,General Request - COUNTY CLERK,16,0
257,2018-01-08,General Request - DPH,5,0
258,2018-01-08,General Request - LIBRARY PUBLIC,1,0
259,2018-01-08,General Request - MTA,18,0
260,2018-01-08,General Request - PUBLIC WORKS,14,0
261,2018-01-08,General Request - PUC,38,1
262,2018-01-08,General Request - RENT BOARD,1,0
263,2018-01-08,General Request - TT COLLECTOR,3,0
264,2018-01-08,Graffiti,132,0
265,2018-01-08,Homeless Concerns,102,0
266,2018-01-08,Illegal Postings,17,0
267,2018-01-08,Litter Receptacles,10,0
268,2018-01-08,MUNI Feedback,62,0
269,2018-01-08,Noise Report,10,0
270,2018-01-08,Rec and Park Requests,9,0
271,2018-01-08,Residential Building Request,4,0
272,2018-01-08,SFHA Requests,6,0
273,2018-01-08,Sewer Issues,168,1
274,2018-01-08,Sidewalk or Curb,4,0
275,2018-01-08,Sign Repair,6,0
276,2018-01-08,Street Defects,45,0
277,2018-01-08,Street and Sidewalk Cleaning,480,0
278,2018-01-08,Streetlights,19,0
279,2018-01-08,Temporary Sign Request,8,0
280,2018-01-08,Tree Maintenance,24,0
281,2018-01-09,311 External Request,2,0
282,2018-01-09,Abandoned Vehicle,84,0
283,2018-01-09,Blocked Street or SideWalk,25,0
284,2018-01-09,Catch Basin Maintenance,1,0
285,2018-01-09,Color Curb,1,0
286,2018-01-09,Construction Zone Permits,1,0
287,2018-01-09,Damaged Property,42,0
288,2018-01-09,Encampments,203,0
289,2018-01-09,General Request - 311CUSTOMERSERVICECENTER,4,0
290,2018-01-09,General Request - ANIMAL CARE CONTROL,2,0
291,2018-01-09,General Request - ASSESSOR RECORDER,1,0
292,2018-01-09,General Request - BUILDING INSPECTION,2,0
293,2018-01-09,General Request - COUNTY CLERK,14,0
294,2018-01-09,General Request - DISTRICT ATTORNEY,1,0
295,2018-01-09,General Request - DPH,5,0
296,2018-01-09,General Request - DTIS,1,0
297,2018-01-09,General Request - FIRE DEPARTMENT,1,0
298,2018-01-09,General Request - MTA,28,0
299,2018-01-09,General Request - PLANNING,1,0
300,2018-01-09,General Request - PUBLIC WORKS,33,0
301,2018-01-09,General Request - PUC,14,0
302,2018-01-09,General Request - TT COLLECTOR,5,0
303,2018-01-09,Graffiti,350,0
304,2018-01-09,Homeless Concerns,152,0
305,2018-01-09,Illegal Postings,15,0
306,2018-01-09,Litter Receptacles,20,0
307,2018-01-09,MUNI Feedback,65,0
308,2018-01-09,Noise Report,21,0
309,2018-01-09,Rec and Park Requests,13,0
310,2018-01-09,Residential Building Request,2,0
311,2018-01-09,SFHA Requests,8,0
312,2018-01-09,Sewer Issues,44,0
313,2018-01-09,Sidewalk or Curb,22,0
314,2018-01-09,Sign Repair,15,0
315,2018-01-09,Street Defects,35,0
316,2018-01-09,Street and Sidewalk Cleaning,724,0
317,2018-01-09,Streetlights,24,0
318,2018-01-09,Temporary Sign Request,62,1
319,2018-01-09,Tree Maintenance,51,1
320,2018-01-10,311 External Request,2,0
321,2018-01-10,Abandoned Vehicle,98,0
322,2018-01-10,Blocked Street or SideWalk,20,0
323,2018-01-10,Catch Basin Maintenance,3,0
324,2018-01-10,Color Curb,7,0
325,2018-01-10,Construction Zone Permits,10,0
326,2018-01-10,Damaged Property,39,0
327,2018-01-10,Encampments,186,0
328,2018-01-10,General Request - 311CUSTOMERSERVICECENTER,2,0
329,2018-01-10,General Request - ANIMAL CARE CONTROL,2,0
330,2018-01-10,General Request - ASSESSOR RECORDER,2,0
331,2018-01-10,General Request - BUILDING INSPECTION,6,0
332,2018-01-10,General Request - COUNTY CLERK,6,0
333,2018-01-10,General Request - DPH,6,0
334,2018-01-10,General Request - ENTERTAINMENT COMMISSION,1,0
335,2018-01-10,General Request - MTA,20,0
336,2018-01-10,General Request - PUBLIC WORKS,26,0
337,2018-01-10,General Request - PUC,4,0
338,2018-01-10,General Request - TT COLLECTOR,7,0
339,2018-01-10,Graffiti,245,0
340,2018-01-10,Homeless Concerns,132,0
341,2018-01-10,Illegal Postings,24,0
342,2018-01-10,Litter Receptacles,10,0
343,2018-01-10,MUNI Feedback,60,0
344,2018-01-10,Noise Report,13,0
345,2018-01-10,Rec and Park Requests,9,0
346,2018-01-10,Residential Building Request,9,0
347,2018-01-10,SFHA Requests,1,0
348,2018-01-10,Sewer Issues,31,0
349,2018-01-10,Sidewalk or Curb,9,0
350,2018-01-10,Sign Repair,11,0
351,2018-01-10,Street Defects,27,0
352,2018-01-10,Street and Sidewalk Cleaning,709,0
353,2018-01-10,Streetlights,17,0
354,2018-01-10,Temporary Sign Request,28,0
355,2018-01-10,Tree Maintenance,22,0
356,2018-01-11,311 External Request,3,0
357,2018-01-11,Abandoned Vehicle,93,0
358,2018-01-11,Blocked Street or SideWalk,28,0
359,2018-01-11,Catch Basin Maintenance,2,0
360,2018-01-11,Color Curb,8,0
361,2018-01-11,DPW Volunteer Programs,2,0
362,2018-01-11,Damaged Property,42,0
363,2018-01-11,Encampments,230,0
364,2018-01-11,General Request - 311CUSTOMERSERVICECENTER,1,0
365,2018-01-11,General Request - ANIMAL CARE CONTROL,5,0
366,2018-01-11,General Request - ASSESSOR RECORDER,2,0
367,2018-01-11,General Request - BUILDING INSPECTION,4,0
368,2018-01-11,General Request - CONTRACT ADMINISTRATION,1,0
369,2018-01-11,General Request - COUNTY CLERK,9,0
370,2018-01-11,General Request - DPH,9,0
371,2018-01-11,General Request - HUMAN SERVICES AGENCY,1,0
372,2018-01-11,General Request - MTA,19,0
373,2018-01-11,General Request - PLANNING,1,0
374,2018-01-11,General Request - PUBLIC WORKS,40,0
375,2018-01-11,General Request - PUC,12,0
376,2018-01-11,General Request - RPD,1,0
377,2018-01-11,General Request - TT COLLECTOR,1,0
378,2018-01-11,Graffiti,198,0
379,2018-01-11,Homeless Concerns,152,0
380,2018-01-11,Illegal Postings,8,0
381,2018-01-11,Litter Receptacles,25,0
382,2018-01-11,MUNI Feedback,55,0
383,2018-01-11,Noise Report,16,0
384,2018-01-11,Rec and Park Requests,11,0
385,2018-01-11,Residential Building Request,8,0
386,2018-01-11,SFHA Requests,2,0
387,2018-01-11,Sewer Issues,19,0
388,2018-01-11,Sidewalk or Curb,11,0
389,2018-01-11,Sign Repair,17,0
390,2018-01-11,Street Defects,22,0
391,2018-01-11,Street and Sidewalk Cleaning,619,0
392,2018-01-11,Streetlights,23,0
393,2018-01-11,Temporary Sign Request,27,0
394,2018-01-11,Tree Maintenance,33,0
395,2018-01-12,311 External Request,3,0
396,2018-01-12,Abandoned Vehicle,81,0
397,2018-01-12,Blocked Street or SideWalk,26,0
398,2018-01-12,Catch Basin Maintenance,2,0
399,2018-01-12,Color Curb,5,0
400,2018-01-12,Construction Zone Permits,3,0
401,2018-01-12,Damaged Property,32,0
402,2018-01-12,Encampments,159,0
403,2018-01-12,General Request - 311CUSTOMERSERVICECENTER,1,0
404,2018-01-12,General Request - ANIMAL CARE CONTROL,2,0
405,2018-01-12,General Request - BUILDING INSPECTION,5,0
406,2018-01-12,General Request - COUNTY CLERK,6,0
407,2018-01-12,General Request - DISTRICT ATTORNEY,1,0
408,2018-01-12,General Request - DPH,6,0
409,2018-01-12,General Request - DTIS,1,0
410,2018-01-12,General Request - MTA,22,0
411,2018-01-12,General Request - PORT AUTHORITY,1,0
412,2018-01-12,General Request - PUBLIC WORKS,46,0
413,2018-01-12,General Request - PUC,6,0
414,2018-01-12,General Request - RPD,2,0
415,2018-01-12,General Request - TT COLLECTOR,2,0
416,2018-01-12,Graffiti,241,0
417,2018-01-12,Homeless Concerns,124,0
418,2018-01-12,Illegal Postings,11,0
419,2018-01-12,Litter Receptacles,23,0
420,2018-01-12,MUNI Feedback,53,0
421,2018-01-12,Noise Report,19,0
422,2018-01-12,Rec and Park Requests,15,0
423,2018-01-12,Residential Building Request,6,0
424,2018-01-12,SFHA Requests,8,0
425,2018-01-12,Sewer Issues,22,0
426,2018-01-12,Sidewalk or Curb,13,0
427,2018-01-12,Sign Repair,16,0
428,2018-01-12,Street Defects,28,0
429,2018-01-12,Street and Sidewalk Cleaning,588,0
430,2018-01-12,Streetlights,23,0
431,2018-01-12,Temporary Sign Request,27,0
432,2018-01-12,Tree Maintenance,23,0
433,2018-01-13,311 External Request,1,0
434,2018-01-13,Abandoned Vehicle,35,0
435,2018-01-13,Blocked Street or SideWalk,6,0
436,2018-01-13,Catch Basin Maintenance,1,0
437,2018-01-13,Color Curb,1,0
438,2018-01-13,Damaged Property,31,0
439,2018-01-13,Encampments,166,0
440,2018-01-13,General Request - 311CUSTOMERSERVICECENTER,1,0
441,2018-01-13,General Request - ANIMAL CARE CONTROL,7,0
442,2018-01-13,General Request - BUILDING INSPECTION,3,0
443,2018-01-13,General Request - DPH,3,0
444,2018-01-13,General Request - MTA,8,0
445,2018-01-13,General Request - PUBLIC WORKS,10,0
446,2018-01-13,General Request - PUC,7,0
447,2018-01-13,General Request - SFPD,1,0
448,2018-01-13,Graffiti,216,0
449,2018-01-13,Homeless Concerns,107,0
450,2018-01-13,Illegal Postings,4,0
451,2018-01-13,Litter Receptacles,8,0
452,2018-01-13,MUNI Feedback,32,0
453,2018-01-13,Noise Report,17,0
454,2018-01-13,Rec and Park Requests,21,0
455,2018-01-13,Residential Building Request,3,0
456,2018-01-13,SFHA Requests,8,0
457,2018-01-13,Sewer Issues,21,0
458,2018-01-13,Sidewalk or Curb,8,0
459,2018-01-13,Sign Repair,6,0
460,2018-01-13,Street Defects,13,0
461,2018-01-13,Street and Sidewalk Cleaning,430,0
462,2018-01-13,Streetlights,11,0
463,2018-01-13,Temporary Sign Request,4,0
464,2018-01-13,Tree Maintenance,10,0
465,2018-01-14,311 External Request,1,0
466,2018-01-14,Abandoned Vehicle,47,0
467,2018-01-14,Blocked Street or SideWalk,15,0
468,2018-01-14,Catch Basin Maintenance,3,0
469,2018-01-14,Damaged Property,21,0
470,2018-01-14,Encampments,120,0
471,2018-01-14,General Request - 311CUSTOMERSERVICECENTER,4,0
472,2018-01-14,General Request - ANIMAL CARE CONTROL,7,0
473,2018-01-14,General Request - COUNTY CLERK,5,0
474,2018-01-14,General Request - DPH,3,0
475,2018-01-14,General Request - MTA,8,0
476,2018-01-14,General Request - PUBLIC WORKS,12,0
477,2018-01-14,General Request - PUC,9,0
478,2018-01-14,Graffiti,255,0
479,2018-01-14,Homeless Concerns,90,0
480,2018-01-14,Illegal Postings,7,0
481,2018-01-14,Litter Receptacles,9,0
482,2018-01-14,MUNI Feedback,23,0
483,2018-01-14,Noise Report,15,0
484,2018-01-14,Rec and Park Requests,30,0
485,2018-01-14,Residential Building Request,2,0
486,2018-01-14,SFHA Requests,8,0
487,2018-01-14,Sewer Issues,18,0
488,2018-01-14,Sidewalk or Curb,18,0
489,2018-01-14,Sign Repair,7,0
490,2018-01-14,Street Defects,13,0
491,2018-01-14,Street and Sidewalk Cleaning,435,0
492,2018-01-14,Streetlights,45,1
493,2018-01-14,Tree Maintenance,14,0
494,2018-01-15,311 External Request,1,0
495,2018-01-15,Abandoned Vehicle,92,0
496,2018-01-15,Blocked Street or SideWalk,20,0
497,2018-01-15,Color Curb,1,0
498,2018-01-15,Construction Zone Permits,2,0
499,2018-01-15,DPW Volunteer Programs,1,0
500,2018-01-15,Damaged Property,26,0
501,2018-01-15,Encampments,139,0
502,2018-01-15,General Request - 311CUSTOMERSERVICECENTER,3,0
503,2018-01-15,General Request - ANIMAL CARE CONTROL,1,0
504,2018-01-15,General Request - ASSESSOR RECORDER,2,0
505,2018-01-15,General Request - BUILDING INSPECTION,5,0
506,2018-01-15,General Request - CITY HALL,1,0
507,2018-01-15,General Request - COUNTY CLERK,8,0
508,2018-01-15,General Request - DPH,8,0
509,2018-01-15,General Request - DTIS,1,0
510,2018-01-15,General Request - HUMAN RESOURCES,1,0
511,2018-01-15,General Request - MTA,14,0
512,2018-01-15,General Request - PUBLIC WORKS,30,0
513,2018-01-15,General Request - PUC,5,0
514,2018-01-15,General Request - TT COLLECTOR,1,0
515,2018-01-15,Graffiti,213,0
516,2018-01-15,Homeless Concerns,104,0
517,2018-01-15,Illegal Postings,2,0
518,2018-01-15,Litter Receptacles,13,0
519,2018-01-15,MUNI Feedback,44,0
520,2018-01-15,Noise Report,13,0
521,2018-01-15,Rec and Park Requests,22,0
522,2018-01-15,Residential Building Request,4,0
523,2018-01-15,SFHA Requests,7,0
524,2018-01-15,Sewer Issues,26,0
525,2018-01-15,Sidewalk or Curb,8,0
526,2018-01-15,Sign Repair,17,0
527,2018-01-15,Street Defects,8,0
528,2018-01-15,Street and Sidewalk Cleaning,511,0
529,2018-01-15,Streetlights,14,0
530,2018-01-15,Temporary Sign Request,4,0
531,2018-01-15,Tree Maintenance,30,0
532,2018-01-16,311 External Request,6,0
533,2018-01-16,Abandoned Vehicle,106,0
534,2018-01-16,Blocked Street or SideWalk,16,0
535,2018-01-16,Color Curb,8,0
536,2018-01-16,DPW Volunteer Programs,2,0
537,2018-01-16,Damaged Property,29,0
538,2018-01-16,Encampments,172,0
539,2018-01-16,General Request - 311CUSTOMERSERVICECENTER,2,0
540,2018-01-16,General Request - ANIMAL CARE CONTROL,1,0
541,2018-01-16,General Request - ASSESSOR RECORDER,4,0
542,2018-01-16,General Request - BUILDING INSPECTION,3,0
543,2018-01-16,General Request - CENTRAL SHOPS,1,0
544,2018-01-16,General Request - COUNTY CLERK,9,0
545,2018-01-16,General Request - DPH,15,0
546,2018-01-16,General Request - FIRE DEPARTMENT,1,0
547,2018-01-16,General Request - HUMAN SERVICES AGENCY,1,0
548,2018-01-16,General Request - MTA,19,0
549,2018-01-16,General Request - PLANNING,1,0
550,2018-01-16,General Request - PUBLIC WORKS,23,0
551,2018-01-16,General Request - PUC,6,0
552,2018-01-16,General Request - RPD,1,0
553,2018-01-16,General Request - TT COLLECTOR,2,0
554,2018-01-16,Graffiti,281,0
555,2018-01-16,Homeless Concerns,169,0
556,2018-01-16,Illegal Postings,6,0
557,2018-01-16,Litter Receptacles,38,1
558,2018-01-16,MUNI Feedback,60,0
559,2018-01-16,Noise Report,16,0
560,2018-01-16,Rec and Park Requests,25,0
561,2018-01-16,Residential Building Request,3,0
562,2018-01-16,SFHA Requests,6,0
563,2018-01-16,Sewer Issues,24,0
564,2018-01-16,Sidewalk or Curb,11,0
565,2018-01-16,Sign Repair,15,0
566,2018-01-16,Street Defects,24,0
567,2018-01-16,Street and Sidewalk Cleaning,790,0
568,2018-01-16,Streetlights,53,1
569,2018-01-16,Temporary Sign Request,21,0
570,2018-01-16,Tree Maintenance,21,0
571,2018-01-17,311 External Request,6,0
572,2018-01-17,Abandoned Vehicle,82,0
573,2018-01-17,Blocked Street or SideWalk,12,0
574,2018-01-17,Catch Basin Maintenance,3,0
575,2018-01-17,Color Curb,5,0
576,2018-01-17,Construction Zone Permits,3,0
577,2018-01-17,DPW Volunteer Programs,3,0
578,2018-01-17,Damaged Property,48,0
579,2018-01-17,Encampments,134,0
580,2018-01-17,General Request - 311CUSTOMERSERVICECENTER,3,0
581,2018-01-17,General Request - ASSESSOR RECORDER,1,0
582,2018-01-17,General Request - BUILDING INSPECTION,10,0
583,2018-01-17,General Request - COUNTY CLERK,11,0
584,2018-01-17,General Request - DPH,7,0
585,2018-01-17,General Request - MTA,30,0
586,2018-01-17,General Request - PORT AUTHORITY,1,0
587,2018-01-17,General Request - PUBLIC WORKS,20,0
588,2018-01-17,General Request - PUC,11,0
589,2018-01-17,General Request - RPD,1,0
590,2018-01-17,General Request - SFPD,1,0
591,2018-01-17,General Request - TT COLLECTOR,6,0
592,2018-01-17,Graffiti,407,0
593,2018-01-17,Homeless Concerns,117,0
594,2018-01-17,Illegal Postings,29,0
595,2018-01-17,Litter Receptacles,28,0
596,2018-01-17,MUNI Feedback,59,0
597,2018-01-17,Noise Report,14,0
598,2018-01-17,Rec and Park Requests,26,0
